field,n_missing,pct
PGM_SYS_ID,0,0
ACTIVITY_ID,0,0
ENF_IDENTIFIER,0,0
ACTIVITY_TYPE_CODE,0,0
ACTIVITY_TYPE_DESC,0,0
STATE_EPA_FLAG,0,0
ENF_TYPE_CODE,0,0
ENF_TYPE_DESC,0,0
SETTLEMENT_ENTERED_DATE,41,0
PENALTY_AMOUNT,0,0
