ACTIVITY_TYPE_CODE,AIR_POLLUTANT_CLASS_CODE,n
AIF,MAJ,139408
AIF,MIN,108836
AIF,SMI,78100
AIF,NA,4577
AIF,NAP,2648
AIF,UNK,2209
AIF,OTH,632
