dataset,table,issue,value,detail
CAA Pipeline,PIPELINE,placeholder_pct,10.8,of rows
AFS,AFS_FACILITIES,rows,236734,
AFS,AFS_FACILITIES,duplicate_key_rows,0,AFS_ID
AFS,AFS_FACILITIES,missing_top,99.4,CURRENT_HPV
AFS,AFS_FACILITIES,missing_top,93.4,SECONDARY_SIC_CODE
AFS,AFS_FACILITIES,missing_top,72.9,LOCAL_CONTROL_REGION
AFS,AIR_PROGRAM,rows,1139429,
AFS,AIR_PROGRAM,missing_top,94.2,CHEMICAL_ABSTRACT_SERVICE_NMBR
AFS,AIR_PROGRAM,missing_top,80,AIR_PROGRAM_CODE_SUBPARTS
AFS,AIR_PROGRAM,missing_top,5.8,POLLUTANT_CODE
AFS,AIR_PROGRAM,undocumented_code_rows,623,"AIR_PROGRAM_CODE not in EPA list: G,R"
AFS,AFS_ACTIONS,rows,2579661,
AFS,AFS_ACTIONS,missing_top,99.5,ALL_VIOLATION_TYPE_CODES
AFS,AFS_ACTIONS,missing_top,97.7,REGIONAL_DATA_ELEMENT_8
AFS,AFS_ACTIONS,missing_top,94.8,ALL_VIOLATING_POLL_CODES
AFS,AFS_ACTIONS,bad_dates,28,DATE_ACHIEVED
AFS,AFS_ACTIONS,unparseable_dates,2,DATE_ACHIEVED
AFS,AFS_ACTIONS,numeric_max,24000000,PENALTY_AMOUNT
AFS,AFS_ACTIONS,numeric_pct_zero,98.2,PENALTY_AMOUNT
AFS,AFS_ACTIONS,numeric_pct_neg,0,PENALTY_AMOUNT
AFS,AFS_AIR_PRG_HIST_COMPLIANCE,rows,10204801,
AFS,AFS_AIR_PRG_HIST_COMPLIANCE,missing_top,0,HISTORICAL_COMPLIANCE_STATUS
AFS,AFS_AIR_PRG_HIST_COMPLIANCE,missing_top,0,AIR_PROGRAM_CODE
AFS,AFS_AIR_PRG_HIST_COMPLIANCE,bad_dates,0,HISTORICAL_COMPLIANCE_DATE
AFS,AFS_AIR_PRG_HIST_COMPLIANCE,unparseable_dates,0,HISTORICAL_COMPLIANCE_DATE
AFS,AFS_HPV_HISTORY,rows,32057,
AFS,AFS_HPV_HISTORY,missing_top,6.6,HPV_RESOLVED_TYPE
AFS,AFS_HPV_HISTORY,missing_top,6.6,HPV_RESOLVED_DESC
AFS,AFS_HPV_HISTORY,missing_top,6.6,HPV_RESOLVED_DATE
AFS,AFS_HPV_HISTORY,bad_dates,0,HPV_DAYZERO_DATE
AFS,AFS_HPV_HISTORY,unparseable_dates,0,HPV_DAYZERO_DATE
AFS,AFS_HPV_HISTORY,bad_dates,0,HPV_RESOLVED_DATE
AFS,AFS_HPV_HISTORY,unparseable_dates,0,HPV_RESOLVED_DATE
Emissions,POLL_RPT_COMBINED_EMISSIONS,rows,10411871,
Emissions,POLL_RPT_COMBINED_EMISSIONS,missing_top,44,NEI_HAP_VOC_FLAG
Emissions,POLL_RPT_COMBINED_EMISSIONS,missing_top,9.9,NEI_TYPE
Emissions,POLL_RPT_COMBINED_EMISSIONS,missing_top,0,ANNUAL_EMISSION
Emissions,POLL_RPT_COMBINED_EMISSIONS,bad_dates,0,REPORTING_YEAR
Emissions,POLL_RPT_COMBINED_EMISSIONS,unparseable_dates,0,REPORTING_YEAR
Emissions,POLL_RPT_COMBINED_EMISSIONS,numeric_max,47629708350,ANNUAL_EMISSION
Emissions,POLL_RPT_COMBINED_EMISSIONS,numeric_pct_zero,5.1,ANNUAL_EMISSION
Emissions,POLL_RPT_COMBINED_EMISSIONS,numeric_pct_neg,0,ANNUAL_EMISSION
FRS crosswalk,AFS->FRS,crosswalk_unmatched,71799,30.3% of AFS facilities (state-driven)
