POLLUTANT_CODES,n,pct
300000207 300000243,8,0
300000236 300000243 300000328,8,0
300000236 300000302,8,0
300000236 300000302 300000319,8,0
300000236 300000322 300000330,8,0
300000236 300000323,8,0
300000242 300000319 300000322,8,0
300000242 300000328,8,0
300000243 300000322 300000328,8,0
5409 10494,8,0
5409 300000243 300000329,8,0
7003 10373 10494 200000481,8,0
7003 300000004,8,0
7003 300000236 300000329,8,0
7003 300000319,8,0
7003 300000328,8,0
10193 10358 10373 300000328,7,0
10193 10461 300000183 300000207 300000213 300000242 300000243 300000282 300000319,7,0
10193 10461 300000236,7,0
10193 300000005 300000330,7,0
10193 300000010,7,0
10193 300000243 300000282 300000328 300000329,7,0
10461 300000243 300000282,7,0
300000005 300000323,7,0
300000006 300000329,7,0
300000016 300000282,7,0
300000028,7,0
300000048 300000242,7,0
300000097 300000242 300000243,7,0
300000119 300000242 300000243,7,0
300000153,7,0
300000178,7,0
300000183 300000242,7,0
300000183 300000329,7,0
300000207 300000243 300000329,7,0
300000210 300000243,7,0
300000220 300000236,7,0
300000231,7,0
300000236 300000242,7,0
300000236 300000282,7,0
300000236 300000328 300000329,7,0
300000242 300000243 300000333,7,0
300000282 300000319,7,0
300000302 300000329,7,0
300000318,7,0
300000319 300000328,7,0
300000323 300000328,7,0
7003 300000291,7,0
10193 10358 10461,6,0
10193 10461 300000005 300000243 300000319,6,0
10193 10461 300000330,6,0
10193 300000006 300000243,6,0
10193 300000036,6,0
10193 300000236 300000243 300000282 300000328,6,0
10193 300000282 300000319,6,0
10358 10373 300000328,6,0
10358 300000243,6,0
10361,6,0
10373 10461,6,0
10461 300000015,6,0
10461 300000243 300000329,6,0
10461 300000330,6,0
200000481 300000243,6,0
300000005 300000207,6,0
300000005 300000243 300000319,6,0
300000035,6,0
300000207 300000242,6,0
300000210 300000329,6,0
300000220,6,0
300000236 300000243 300000329,6,0
300000236 300000322 300000323,6,0
300000242 300000243 300000328,6,0
300000242 300000322 300000329,6,0
300000243 300000319 300000322 300000329,6,0
300000243 300000329 300000330,6,0
300000302 300000330,6,0
7003 10358,6,0
7003 10373 200000481 300000243,6,0
7003 10373 200000481 300000329,6,0
7003 300000242,6,0
10193 10373,5,0
10193 10461 300000005 300000242 300000243 300000319,5,0
10193 10461 300000005 300000243,5,0
10193 10461 300000005 300000243 300000322,5,0
10193 10461 300000005 300000319,5,0
10193 300000006 300000322,5,0
10193 300000207,5,0
10193 300000282 300000329,5,0
10193 300000319 300000329,5,0
10461 300000005 300000242,5,0
300000005 300000006,5,0
300000006 300000322,5,0
300000010 300000329,5,0
300000011 300000018,5,0
300000036 300000322,5,0
300000038 300000319,5,0
300000038 300000329,5,0
300000054,5,0
300000145,5,0
300000174 300000243,5,0
300000179,5,0
300000187,5,0
300000188 300000242 300000243,5,0
300000188 300000329,5,0
300000218,5,0
300000236 300000330,5,0
300000243 300000294,5,0
300000243 300000319 300000320,5,0
300000243 300000333,5,0
300000291,5,0
300000305 300000322,5,0
300000319 300000330,5,0
300000321,5,0
300000326,5,0
300000326 300000327,5,0
300000376,5,0
300000673,5,0
5409 7003 300000243 300000329,5,0
7003 10193 10358 10373 10461 200000481 300000242 300000243,5,0
7003 300000036,5,0
7003 300000242 300000243,5,0
7003 300000327,5,0
10193 10461 300000005 300000017 300000018 300000039 300000048 300000090 300000097 300000120 300000129 300000178 300000183 300000228 300000242 300000243 300000319 300000322 300000329,4,0
10193 10461 300000010 300000016 300000176,4,0
10193 10461 300000207 300000213 300000242 300000243 300000282 300000322,4,0
10193 10461 300000242 300000243 300000282 300000319,4,0
10193 300000005 300000006,4,0
10193 300000242 300000243 300000282,4,0
10193 300000282 300000328 300000329,4,0
10193 300000319 300000322 300000329,4,0
10193 300000323,4,0
10373 300000236,4,0
10461 300000236 300000243,4,0
10461 300000236 300000243 300000322,4,0
10461 300000243 300000282 300000319,4,0
10461 300000302,4,0
10461 300000319 300000329,4,0
10461 300000322 300000328,4,0
300000004 300000322,4,0
300000005 300000236 300000322,4,0
300000005 300000242 300000329,4,0
300000005 300000282,4,0
300000010 300000236,4,0
300000015 300000017 300000018,4,0
300000016 300000329,4,0
300000018 300000243,4,0
300000018 300000298 300000329,4,0
300000018 300000328,4,0
300000018 300000330,4,0
300000020,4,0
300000028 300000215,4,0
300000037,4,0
300000039 300000322 300000323,4,0
300000042,4,0
300000095,4,0
300000097 300000329,4,0
300000107 300000242 300000243 300000333,4,0
300000107 300000243,4,0
300000119 300000330,4,0
300000171 300000329,4,0
300000210 300000243 300000305,4,0
300000226,4,0
300000228,4,0
300000230,4,0
300000236 300000242 300000243,4,0
300000236 300000242 300000322,4,0
300000236 300000243 300000330,4,0
300000236 300000301 300000322,4,0
300000301 300000328,4,0
300000301 300000329,4,0
300000302 300000328,4,0
300000312 300000329,4,0
300000319 300000322 300000328,4,0
5409 7003 10373 10494 200000481,4,0
5409 7003 300000243,4,0
5409 7003 300000329,4,0
7003 10193 10373 10461 200000481 300000243 300000282,4,0
7003 10373 300000329,4,0
7003 200000481,4,0
7003 300000038,4,0
10193 10358 300000328,3,0
10193 10373 10461 200000481 300000242 300000243 300000282,3,0
10193 10461 300000005 300000243 300000322 300000330,3,0
10193 10461 300000006,3,0
10193 10461 300000010,3,0
10193 10461 300000236 300000243 300000282 300000319 300000322,3,0
10193 10461 300000242,3,0
10193 300000005 300000207 300000243,3,0
10193 300000005 300000236,3,0
10193 300000005 300000242 300000243,3,0
10193 300000005 300000243 300000319 300000329,3,0
10193 300000005 300000243 300000322,3,0
10193 300000016 300000330,3,0
10193 300000018,3,0
10193 300000018 300000243,3,0
10193 300000038,3,0
10193 300000236 300000322,3,0
10193 300000242 300000329,3,0
10193 300000319 300000320,3,0
10193 300000322 300000330,3,0
10358 10373 10461,3,0
10358 10494,3,0
10358 300000236,3,0
10366,3,0
10373 200000481 300000243,3,0
