PROGRAM_CODES,n,pct
CAAMACT CAANESH CAANSPS CAANSR CAASIP CAATVP,3,0
CAAMACT CAANESH CAANSPS CAATVP,3,0
CAAMACT CAANESH CAAPSD CAATVP,3,0
CAAMACT CAANSPS CAANSR CAATVP,3,0
CAANESH CAANSR CAASIP CAATVP,3,0
CAANSPSM CAANSR,3,0
CAANSPSM CAAOTH,3,0
CAANSR CAAOTH,3,0
CAANSR CAAPSD CAATVP,3,0
CAAOP CAATVP,3,0
CAASFP,3,0
CAASFP CAATVP,3,0
CAAAR CAAMACT CAANSPS CAAPSD CAATVP,2,0
CAACFC CAAMACT CAASIP CAATVP,2,0
CAACFC CAANSPS,2,0
CAACFC CAASIP CAATVP,2,0
CAAFENF,2,0
CAAFESOP CAAGACTM CAANSPS,2,0
CAAFESOP CAAMACT CAANESH CAANSPS CAASIP,2,0
CAAFESOP CAAMACT CAANSPS CAAPSD CAASIP CAATVP,2,0
CAAFESOP CAAMACT CAATVP,2,0
CAAFESOP CAANSPS CAANSR CAASIP,2,0
CAAFESOP CAANSPS CAASIP CAATVP,2,0
CAAFESOP CAANSR,2,0
CAAFIP CAANSR CAASIP,2,0
CAAGACTM CAAMACT CAANESH CAANSPS CAAPSD CAATVP,2,0
CAAGACTM CAAMACT CAANESH CAANSPSM CAANSR CAATVP,2,0
CAAGACTM CAAMACT CAANSPS CAASIP,2,0
CAAGACTM CAAMACT CAANSPS CAASIP CAATVP,2,0
CAAGACTM CAANESH CAANSPS CAAPSD CAATVP,2,0
CAAGACTM CAANSPS CAAPSD CAASIP,2,0
CAAMACT CAANESH CAANSPS CAANSR CAASIP,2,0
CAAMACT CAANESH CAANSPS CAANSR CAATVP,2,0
CAAMACT CAANSPSM,2,0
CAAMACT CAANSR CAAOTH CAASIP,2,0
CAAMACT CAAOTH,2,0
CAANESH CAANSPS CAANSR CAAPSD,2,0
CAANESH CAANSPS CAANSR CAASIP CAATVP,2,0
CAANESH CAANSPS CAAPSD CAATVP,2,0
CAANESH CAAPSD,2,0
CAANSPS CAANSR CAAPSD CAATVP,2,0
CAANSPS CAAOTH,2,0
CAAOP CAASIP,2,0
CAAOTH CAATVP,2,0
CAAAR CAAGACTM CAANSPS CAASIP,1,0
CAAAR CAAGACTM CAANSPS CAASIP CAATVP,1,0
CAAAR CAAMACT CAANESH CAANSPS CAANSR CAASIP,1,0
CAAAR CAAMACT CAANSPS CAANSR CAAPSD CAASIP CAATVP,1,0
CAAAR CAAMACT CAASIP CAATVP,1,0
CAAAR CAANSPS CAANSR CAAPSD CAASIP CAATVP,1,0
CAAAR CAANSPS CAAPSD CAASIP,1,0
CAAAR CAANSR CAASIP,1,0
CAAAR CAAPSD,1,0
CAAAR CAAPSD CAASIP CAATVP,1,0
CAACFC CAAGHG CAAMACT CAANSPS CAANSR CAASIP CAATVP,1,0
CAACFC CAAMACT CAANESH CAANSPS CAASIP CAATVP,1,0
CAACFC CAAMACT CAANSPS CAASIP,1,0
CAACFC CAAMACT CAATVP,1,0
CAACFC CAANESH CAANSPS CAASIP CAATVP,1,0
CAACFC CAANSPS CAASIP CAATVP,1,0
CAACFC CAANSR CAAPSD CAASIP CAATVP,1,0
CAACFC CAAPSD CAASIP CAATVP,1,0
CAACFC CAATVP,1,0
CAAEP CAAFIP,1,0
CAAFENF CAANESH CAASIP CAATVP,1,0
CAAFENF CAATVP,1,0
CAAFESOP CAAFIP CAAMACT,1,0
CAAFESOP CAAGACTM CAAMACT,1,0
CAAFESOP CAAGACTM CAAMACT CAANESH CAANSPS CAASIP,1,0
CAAFESOP CAAGACTM CAANSPS CAASIP,1,0
CAAFESOP CAAGHG CAASIP,1,0
CAAFESOP CAAMACT CAANSPS CAAPSD CAASIP,1,0
CAAFESOP CAAMACT CAANSPS CAASIP CAATVP,1,0
CAAFESOP CAAMACT CAANSPSM,1,0
CAAFESOP CAAMACT CAANSR CAASIP,1,0
CAAFESOP CAAMACT CAARMP CAASIP,1,0
CAAFESOP CAANESH CAANSPS CAASIP,1,0
CAAFESOP CAANESH CAANSPSM CAASIP,1,0
CAAFESOP CAANESH CAASIP,1,0
CAAFESOP CAANSPS CAANSPSM CAASIP,1,0
CAAFESOP CAANSPS CAANSR,1,0
CAAFESOP CAANSPS CAAPSD CAASIP,1,0
CAAFESOP CAANSPS CAASPP,1,0
CAAFESOP CAANSPSM CAANSR,1,0
CAAFESOP CAANSR CAAOTH CAASIP,1,0
CAAFESOP CAANSR CAASIP CAATVP,1,0
CAAFESOP CAAPSD CAASIP,1,0
CAAFESOP CAAPSD CAATVP,1,0
CAAFIP CAANSPS CAANSR CAAPSD CAASIP,1,0
CAAFIP CAANSR,1,0
CAAFIP CAAPSD,1,0
CAAFIP CAAPSDPR,1,0
CAAFIP CAASIP CAATVP,1,0
CAAGACTM CAAGHG CAANSPS CAASIP CAATVP,1,0
CAAGACTM CAAMACT CAANESH CAANSPS,1,0
CAAGACTM CAAMACT CAANESH CAASIP CAATVP,1,0
CAAGACTM CAAMACT CAANSPS CAAPSD CAASIP CAATVP,1,0
CAAGACTM CAAMACT CAANSPS CAATVP,1,0
CAAGACTM CAANESH CAATVP,1,0
CAAGACTM CAANSPS CAANSPSM CAATVP,1,0
CAAGACTM CAANSR,1,0
CAAGACTM CAANSR CAASIP CAATVP,1,0
CAAGACTM CAANSR CAATVP,1,0
CAAGACTM CAAOTH,1,0
CAAGHG CAAMACT CAANSPS CAANSR CAAPSD CAASIP CAATVP,1,0
CAAGHG CAAMACT CAANSPS CAANSR CAATVP,1,0
CAAGHG CAANSPS CAASIP,1,0
CAAMACT CAANAM,1,0
CAAMACT CAANAM CAANSPS CAAPSD,1,0
CAAMACT CAANAM CAAPSD,1,0
CAAMACT CAANESH CAANSPS CAAPSD CAASIP,1,0
CAAMACT CAANSPS CAANSR CAAOTH CAASIP,1,0
CAAMACT CAANSPS CAAOTH CAAPSD CAATVP,1,0
CAAMACT CAANSPS CAAPSD,1,0
CAAMACT CAANSPS CAARMP CAASIP CAATVP,1,0
CAAMACT CAANSPSM CAASIP,1,0
CAAMACT CAANSPSM CAASIP CAATVP,1,0
CAAMACT CAANSPSM CAATVP,1,0
CAAMACT CAANSR CAAOTH CAASIP CAATVP,1,0
CAAMACT CAANSR CAAPSD CAASIP,1,0
CAAMACT CAAOP CAASIP,1,0
CAAMACT CAARMP,1,0
CAANAM CAANSPS CAAPSD CAASIP CAATVP,1,0
CAANAM CAANSPS CAASIP CAATVP,1,0
CAANAM CAANSR CAAPSD CAATVP,1,0
CAANAM CAAPSD CAASIP CAATVP,1,0
CAANAM CAASIP,1,0
CAANESH CAANSPS CAANSR CAATVP,1,0
CAANESH CAANSPS CAAOP,1,0
CAANESH CAANSPSM CAASIP,1,0
CAANESH CAAOP CAASIP,1,0
CAANESH CAAOTH CAATVP,1,0
CAANESH CAAPSD CAASIP,1,0
CAANFRP CAASIP,1,0
CAANFRP CAATVP,1,0
CAANSPS CAANSPSM CAANSR,1,0
CAANSPSM CAATVP,1,0
CAANSR CAASFP CAATVP,1,0
CAAOP,1,0
CAAOTH CAAPSD,1,0
CAAOTH CAASIP CAATVP,1,0
CAAPARGDC CAASIP,1,0
CAAPARGDC CAASIP CAATVP,1,0
CAARMP CAATVP,1,0
CAASFP CAASIP,1,0
CAASFP CAASIP CAATVP,1,0
CAASIP CAATIP,1,0
