program_bundle,n_sources,pct
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAATVP,36,0
CAAGACTM + CAANSPS,36,0
CAANFRP + CAANSPSM + CAANSR + CAAOTH + CAASIP,36,0
CAAMACT + CAANSR + CAAPSD + CAASIP + CAATVP,35,0
CAANSPS + CAANSPSM + CAASIP + CAATVP,35,0
CAACFC + CAAGACTM + CAANSPS + CAASIP,34,0
CAACFC + CAAMACT + CAANSPS + CAAPARGDC + CAASIP + CAATVP,34,0
CAACFC + CAAMACT + CAANSPS + CAASIP + CAATVP,33,0
CAAMACT + CAANSPS + CAANSPSM + CAASIP + CAATVP,33,0
CAACFC + CAANSPS + CAASIP,32,0
CAAGACTM + CAANSPS + CAANSPSM + CAASIP + CAATVP,32,0
CAAMACT + CAANSR + CAAPSD + CAASIP,32,0
CAAAR + CAANSPS + CAAPSD + CAASIP + CAATVP,31,0
CAAMACT + CAANFRP + CAANSPS + CAASIP,31,0
CAAMACT + CAANSPS + CAAPARGDC + CAASIP + CAATVP,31,0
CAANSPS + CAAOTH + CAASIP,31,0
CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,30,0
CAAMACT + CAANFRP + CAASIP,29,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,28,0
CAACFC + CAAMACT,27,0
CAACFC + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,27,0
CAAFESOP + CAAGACTM + CAAMACT,27,0
CAANESH + CAANSPS + CAASIP,27,0
CAARMP + CAASIP,27,0
CAAFESOP + CAAOTH + CAASIP,26,0
CAAGACTM + CAANSR + CAASIP + CAATVP,26,0
CAAMACT + CAANSPSM,26,0
CAAMACT + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,25,0
CAAMACT + CAANESH + CAANSPS + CAAPARGDC + CAASIP + CAATVP,25,0
CAANAM + CAANSPS + CAATIP,25,0
CAANSR + CAAPSD,25,0
CAACFC + CAAMACT + CAANSPS + CAASIP,24,0
CAACFC + CAAMACT + CAAPARGDC + CAASIP + CAATVP,24,0
CAACFC + CAASIP + CAATVP,24,0
CAAFENF + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,24,0
CAAMACT + CAANAM,24,0
CAAMACT + CAANESH + CAASIP,24,0
CAAAR + CAAMACT + CAANSPS + CAASIP + CAATVP,23,0
CAAMACT + CAANSR,23,0
CAAMACT + CAAOTH + CAASIP + CAATVP,23,0
CAANFRP + CAANSPSM + CAANSR + CAAOTH,23,0
CAACFC + CAAFESOP + CAASIP,22,0
CAANSPS + CAAOTH + CAASIP + CAATVP,22,0
CAANSR + CAAPSD + CAASIP + CAATVP,22,0
CAAOTH + CAASIP,22,0
CAAGHG + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,21,0
CAAAR + CAANSPS + CAASIP + CAATVP,20,0
CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,20,0
CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP,20,0
CAAGHG + CAAMACT + CAASIP,20,0
CAAMACT + CAANESH + CAANSPS + CAASIP,20,0
CAACFC + CAANSPS + CAASIP + CAATVP,19,0
CAAFESOP + CAAGACTM + CAANSPS + CAAOTH + CAASIP,19,0
CAAFIP + CAAMACT + CAASIP,19,0
CAAGACTM + CAAGHG + CAANSPS + CAASIP + CAATVP,19,0
CAAGACTM + CAANSPS + CAATVP,19,0
CAAGHG + CAANSPS + CAASIP,19,0
CAAMACT + CAANSPS + CAAPSD + CAATVP,19,0
CAANESH + CAASIP + CAATVP,19,0
CAARMP,19,0
CAAMACT + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,18,0
CAAOTH + CAASIP + CAATVP,18,0
CAAAR + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,17,0
CAAFENF + CAAMACT + CAANSPS + CAASIP + CAATVP,17,0
CAAMACT + CAANSPS + CAANSR + CAATVP,17,0
CAAAR + CAAGACTM + CAANSPS + CAAPSD + CAASIP + CAATVP,16,0
CAAFESOP + CAANESH + CAASIP,16,0
CAAFESOP + CAANSR,16,0
CAAFIP + CAANSPS + CAASIP,16,0
CAAGACTM + CAAMACT + CAAPSD + CAASIP + CAATVP,16,0
CAAGACTM + CAANSPS + CAANSR + CAASIP,16,0
CAACFC + CAAGACTM + CAANSPS + CAAPARGDC + CAASIP + CAATVP,15,0
CAACFC + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,15,0
CAACFC + CAANSPS + CAAPARGDC + CAASIP + CAATVP,15,0
CAAFESOP + CAAGACTM,15,0
