PROGRAM_CODES,n,pct
"CAAGACTM, CAAMACT, CAANESH, CAASIP, CAATVP",15,0
"CAAGACTM, CAANESH, CAASIP",15,0
"CAAGHG, CAAMACT, CAANSPS, CAANSR, CAATVP",15,0
"CAANSR, CAAPSD",15,0
"CAAOP, CAATIP",15,0
"CAAAR, CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",14,0
"CAACFC, CAAMACT, CAANSPS, CAASIP, CAATVP",14,0
"CAAFENF, CAAMACT, CAANSPS, CAANSR",14,0
"CAAFESOP, CAAGACTM, CAAGHG, CAANSPSM, CAASIP",14,0
"CAAFIP, CAATVP",14,0
"CAAGACTM, CAAMACT, CAANSPS, CAAPSD",14,0
"CAAGACTM, CAANSPSM, CAAOTH",14,0
"CAAGACTM, CAANSR, CAASIP, CAATVP",14,0
"CAAGHG, CAAMACT, CAASIP",14,0
"CAAMACT, CAANAM, CAATVP",14,0
"CAAMACT, CAAOP, CAATVP",14,0
"CAANESH, CAANSPS, CAAPSD",14,0
"CAANESH, CAAPSD, CAASIP",14,0
"CAANSPS, CAAOTH, CAASIP",14,0
"CAACFC, CAAGHG, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",13,0
"CAACFC, CAANSR, CAAPSD, CAASIP",13,0
"CAAFESOP, CAAGACTM, CAANSPS, CAANSR, CAASIP",13,0
"CAAFESOP, CAAMACT, CAANSPS, CAAOP",13,0
"CAAFESOP, CAANSPS, CAAOTH, CAASIP",13,0
"CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAASIP, CAATVP",13,0
"CAAGACTM, CAANESH",13,0
"CAAGACTM, CAANSPS, CAANSR, CAASIP",13,0
"CAAMACT, CAANSPS, CAAPARGDC, CAATVP",13,0
"CAANFRP, CAANSPS, CAASIP",13,0
"CAANSP, CAANSR",13,0
"CAAAR, CAAGACTM, CAANSPS, CAASIP, CAATVP",12,0
"CAAFENF, CAANSPS",12,0
"CAAFIP, CAANSPS, CAAOP",12,0
"CAAGACTM, CAANSPS, CAAOP, CAASIP",12,0
"CAAMACT, CAANSPS, CAASO",12,0
"CAANAM, CAATIP",12,0
"CAANESH, CAANSPS, CAAOP, CAASIP",12,0
"CAANSPS, CAAOTH, CAASIP, CAATVP",12,0
"CAAAR, CAAGHG, CAANSPS, CAANSR, CAASIP, CAATVP",11,0
"CAAAR, CAANSPS, CAANSR, CAAPSD, CAATVP",11,0
"CAACFC, CAAMACT, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",11,0
"CAACFC, CAAPARGDC, CAAPSD, CAASIP, CAATVP",11,0
"CAAFESOP, CAAGACTM, CAANSPSM, CAANSR",11,0
"CAAFESOP, CAAGACTM, CAANSR, CAATVP",11,0
"CAAFIP, CAAMACT, CAANSPS",11,0
"CAAFIP, CAAMACT, CAANSPS, CAATVP",11,0
"CAAFIP, CAAMACT, CAATVP",11,0
"CAAFIP, CAANSPS, CAATVP",11,0
"CAAGACTM, CAANSPSM, CAAPSD, CAASIP",11,0
"CAAGACTM, CAASO",11,0
"CAAGHG, CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",11,0
"CAAGHG, CAAMACT, CAANSR, CAASIP, CAATVP",11,0
"CAAGHG, CAANSPS, CAASIP",11,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",11,0
"CAAMACT, CAANSPSM, CAATVP",11,0
"CAAMACT, CAANSR, CAAOTH, CAASIP, CAATVP",11,0
"CAAMACT, CAASO",11,0
"CAANFRP, CAANSPSM, CAAOTH",11,0
"CAAOTH, CAASIP, CAATVP",11,0
"CAAAR, CAACFC, CAAGHG, CAAMACT, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",10,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP",10,0
"CAAFESOP, CAAGACTM, CAANSPSM, CAAOTH",10,0
"CAAFESOP, CAAMACT, CAANESH, CAANSPS, CAATVP",10,0
"CAAFESOP, CAAMACT, CAANSPS, CAAOTH",10,0
"CAAFESOP, CAAMACT, CAANSPS, CAAOTH, CAASIP",10,0
"CAAFESOP, CAANESH, CAANSPS, CAASIP, CAATVP",10,0
"CAAFESOP, CAAOP",10,0
"CAAFESOP, CAARMP, CAASIP",10,0
"CAAGACTM, CAAGHG, CAANSPS, CAASIP",10,0
"CAAGACTM, CAANESH, CAANSPS, CAATVP",10,0
"CAAHAPS, CAAMACT",10,0
"CAAMACT, CAANESH, CAANSPS, CAAOP",10,0
"CAAMACT, CAANESH, CAANSPS, CAAOTH, CAAPSD, CAASIP, CAATVP",10,0
"CAAMACT, CAANESH, CAAPSD, CAATVP",10,0
"CAANAM, CAAOP",10,0
"CAANESH, CAANSPS, CAAOP",10,0
"CAANESH, CAAPSD",10,0
"CAANSPSM, CAAPSD, CAASIP",10,0
"CAAOP, CAATVP",10,0
"CAAAR, CAACFC, CAAGACTM, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",9,0
"CAAAR, CAAGACTM, CAANSPS, CAANSR, CAAPSD, CAATVP",9,0
"CAAAR, CAAGHG, CAANSPS, CAAPSD, CAASIP, CAATVP",9,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAAOTH, CAAPSD, CAATVP",9,0
"CAAFESOP, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",9,0
"CAAFESOP, CAANSR, CAAOTH, CAASIP",9,0
"CAAGACTM, CAANESH, CAANSPS, CAANSR, CAATVP",9,0
"CAAIRM, CAAMACT, CAANAM",9,0
"CAAMACT, CAAMS",9,0
"CAAMACT, CAANSPS, CAAOTH, CAAPSD, CAATVP",9,0
"CAAMACT, CAASFP",9,0
"CAANAM, CAANSPS, CAATVP",9,0
"CAANAM, CAASIP",9,0
"CAANFRP, CAANSPSM, CAANSR, CAAOTH",9,0
"CAAOP, CAATIP, CAATVP",9,0
"CAAAR, CAAFESOP, CAAGACTM, CAANSPS, CAANSR",8,0
"CAAAR, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",8,0
"CAAAR, CAAMACT, CAANSPS, CAANSR, CAASIP",8,0
"CAAAR, CAAMACT, CAAPSD, CAASIP",8,0
"CAAAR, CAANSPSM, CAANSR, CAATVP",8,0
"CAACFC, CAAFESOP, CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAAOTH, CAARMP, CAASFP, CAASIP, CAATVP",8,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",8,0
"CAACFC, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",8,0
"CAAFESOP, CAAGACTM, CAANESH, CAANSPSM, CAASIP",8,0
"CAAFESOP, CAANESH, CAANSPS, CAANSR, CAASIP",8,0
"CAAFESOP, CAANESH, CAANSPS, CAATVP",8,0
"CAAFESOP, CAANSPS, CAANSR, CAAOTH, CAASIP",8,0
"CAAFIP, CAAMACT, CAANSPS, CAAOP, CAATVP",8,0
"CAAFIP, CAANESH",8,0
"CAAFIP, CAASO",8,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPSM, CAANSR, CAATVP",8,0
"CAAGACTM, CAAMACT, CAANSPSM, CAANSR, CAATVP",8,0
"CAAGACTM, CAAMACT, CAANSR, CAATVP",8,0
"CAAGACTM, CAANSPS, CAANSPSM, CAATVP",8,0
"CAAHAPS, CAASIP",8,0
"CAAIRM, CAAMACT, CAANSPS",8,0
"CAAMACT, CAANESH, CAAOTH, CAASIP, CAATVP",8,0
"CAAMACT, CAANFRP, CAATVP",8,0
"CAAMACT, CAANSPS, CAANSPSM",8,0
"CAAMACT, CAANSPS, CAANSR, CAAOP",8,0
"CAANESH, CAANSPS, CAANSR, CAATVP",8,0
"CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",8,0
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAANSR, CAAOTH, CAAPSD, CAASIP, CAATVP",7,0
"CAAAR, CAAGACTM, CAAMACT, CAANSR, CAATVP",7,0
"CAAAR, CAAMACT, CAANSPS, CAAOTH, CAAPSD, CAASIP, CAATVP",7,0
"CAAAR, CAAMACT, CAANSPS, CAAOTH, CAATVP",7,0
"CAAAR, CAANESH, CAANSPS, CAANSR, CAAOTH, CAAPARGDC, CAAPSD, CAATVP",7,0
"CAAAR, CAANSPS, CAAPSD, CAATVP",7,0
"CAACFC, CAAFESOP",7,0
"CAACFC, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAATVP",7,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",7,0
"CAACFC, CAAMACT, CAANSPS, CAAOTH, CAASIP, CAATVP",7,0
"CAAFESOP, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAATVP",7,0
"CAAFESOP, CAAGACTM, CAAMACT, CAANSR",7,0
"CAAFESOP, CAAGACTM, CAAOTH",7,0
"CAAFESOP, CAAMACT, CAANSR, CAAPSD, CAASIP, CAATVP",7,0
"CAAFESOP, CAAMACT, CAARMP, CAASIP",7,0
"CAAFESOP, CAANFRP",7,0
"CAAFESOP, CAANSPS, CAANSPSM, CAASIP",7,0
"CAAGACTM, CAAGHG, CAANSPSM, CAASIP",7,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAATVP",7,0
"CAAGACTM, CAAMACT, CAANSPS, CAATVP",7,0
"CAAGACTM, CAAMACT, CAANSPSM, CAAPSD, CAASIP, CAATVP",7,0
"CAAGACTM, CAAMACT, CAATVP",7,0
"CAAGACTM, CAANSPS, CAAOP, CAATVP",7,0
"CAAGHG, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAATVP",7,0
"CAAGHG, CAANSPS, CAASIP, CAATVP",7,0
"CAAGHG, CAASIP",7,0
"CAAMACT, CAANESH, CAAOP",7,0
"CAAMACT, CAANESH, CAASFP",7,0
"CAAMACT, CAANSPS, CAAPSD",7,0
"CAANAM, CAAPSD, CAATVP",7,0
"CAANSPS, CAASWFC",7,0
"CAANSR, CAAOTH, CAASIP, CAATVP",7,0
"CAAOP, CAASIP, CAATVP",7,0
"CAAAR, CAACFC, CAAFIP, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAOTH, CAAPARGDC, CAAPSD, CAARMP, CAASIP, CAATVP",6,0
"CAAAR, CAAFESOP, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",6,0
"CAAAR, CAAGACTM, CAAMACT, CAANSPS, CAASIP",6,0
"CAAAR, CAAGACTM, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",6,0
"CAAAR, CAAMACT, CAANSR, CAAPSD, CAASIP, CAATVP",6,0
"CAAAR, CAAMACT, CAASIP",6,0
"CAACFC, CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",6,0
"CAACFC, CAAGACTM, CAANSPS, CAANSR, CAASIP, CAATVP",6,0
"CAACFC, CAAMACT",6,0
"CAACFC, CAANSPS, CAAPSD, CAASIP, CAATVP",6,0
"CAAFENF, CAAFESOP",6,0
"CAAFESOP, CAAGACTM, CAANSPS, CAANSR, CAAOTH, CAASIP",6,0
"CAAFESOP, CAAGACTM, CAATVP",6,0
"CAAFESOP, CAAMACT, CAAOP",6,0
"CAAFESOP, CAANESH, CAANSPS",6,0
"CAAFESOP, CAANSPS, CAAPSD, CAASIP, CAATVP",6,0
"CAAFESOP, CAANSR, CAAOTH",6,0
"CAAFIP, CAANSPS, CAASIP, CAATVP",6,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS",6,0
"CAAGACTM, CAAMACT, CAANSPS, CAAOP, CAASIP, CAATVP",6,0
"CAAGACTM, CAANSPS, CAAOP",6,0
"CAAGACTM, CAAOP",6,0
"CAAGHG, CAAMACT, CAANSR, CAATVP",6,0
"CAAMACT, CAANAAQS, CAANSPS, CAASIP",6,0
"CAAMACT, CAANESH, CAANSP, CAANSPS, CAAPSD, CAASIP",6,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAATVP",6,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAATVP",6,0
"CAAMACT, CAANESH, CAANSPS, CAAOTH",6,0
"CAAMACT, CAANESH, CAANSPS, CAAOTH, CAASIP",6,0
"CAAMACT, CAANESH, CAANSPS, CAASFP, CAASIP, CAATVP",6,0
"CAAMACT, CAANFRP",6,0
"CAAMACT, CAANFRP, CAANSR, CAAOTH, CAASIP",6,0
"CAAMACT, CAAOP, CAASIP, CAATVP",6,0
"CAAMACT, CAATIP",6,0
"CAANAM, CAANSPS, CAAPSD, CAATVP",6,0
"CAANESH, CAANSPS, CAANSR, CAASIP",6,0
"CAANESH, CAAOP, CAASIP",6,0
"CAANFRP, CAASIP, CAATVP",6,0
"CAANSP, CAASIP",6,0
"CAANSPSM, CAANSR, CAASIP",6,0
"CAAAR, CAACFC, CAANSPS, CAAOTH, CAASIP, CAATVP",5,0
"CAAAR, CAAFESOP, CAASIP, CAATVP",5,0
"CAAAR, CAAGACTM, CAAGHG, CAANSPS, CAANSR, CAAPSD, CAATVP",5,0
"CAAAR, CAAGACTM, CAANSPS, CAAOTH, CAAPSD, CAATVP",5,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",5,0
"CAAAR, CAANESH, CAASIP, CAATVP",5,0
"CAAAR, CAANSPS",5,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAASIP, CAATVP",5,0
"CAACFC, CAAGACTM, CAASIP",5,0
"CAACFC, CAAMACT, CAAOTH, CAASIP, CAATVP",5,0
"CAAFESOP, CAAGACTM, CAAMACT",5,0
"CAAFESOP, CAAGACTM, CAAPSD, CAASIP",5,0
"CAAFESOP, CAASO",5,0
"CAAGACTM, CAAGHG, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",5,0
"CAAGACTM, CAAGHG, CAAMACT, CAANSPS, CAASIP, CAATVP",5,0
"CAAGACTM, CAAMACT, CAANSPSM",5,0
"CAAGACTM, CAAMACT, CAAOTH, CAATVP",5,0
"CAAGACTM, CAANESH, CAANSPS, CAAPSD, CAATVP",5,0
"CAAGACTM, CAANSPS, CAANSPSM, CAASIP",5,0
"CAAGACTM, CAANSPS, CAAPSD, CAATVP",5,0
"CAAGACTM, CAAOP, CAASIP",5,0
"CAAMACT, CAANAM",5,0
"CAAMACT, CAANESH, CAANSPS, CAAPSD",5,0
"CAAMACT, CAANESH, CAANSR, CAAOTH, CAASIP, CAATVP",5,0
"CAAMACT, CAANESH, CAAPSD, CAASIP",5,0
"CAAMACT, CAANSPS, CAANSPSM, CAASIP",5,0
"CAAMACT, CAANSPS, CAAOP, CAAPSD, CAASIP",5,0
"CAAMACT, CAANSR, CAAOP",5,0
"CAAMACT, CAANSR, CAAPARGDC, CAASIP",5,0
"CAAMACT, CAASO, CAATVP",5,0
"CAANAM, CAANSPS",5,0
"CAANESH, CAANFRP, CAANSR, CAAOTH, CAASIP",5,0
"CAANESH, CAANSR, CAASIP",5,0
"CAANESH, CAAPSD, CAATVP",5,0
"CAANFRP, CAANSPS",5,0
"CAANSPS, CAASO",5,0
"CAASFP, CAASIP",5,0
"CAAAR, CAACFC, CAANESH, CAANSPS, CAAOTH, CAAPSD, CAATVP",4,0
"CAAAR, CAAFESOP, CAAMACT, CAANSPS, CAASIP, CAATVP",4,0
"CAAAR, CAAFESOP, CAAMACT, CAASIP, CAATVP",4,0
"CAAAR, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAATVP",4,0
"CAAAR, CAAGACTM, CAAMACT, CAANSPS, CAAPSD, CAASIP",4,0
"CAAAR, CAAGACTM, CAANSPS, CAASIP",4,0
"CAAAR, CAAMACT, CAANSPS",4,0
"CAAAR, CAAMACT, CAANSPS, CAAPSD, CAATVP",4,0
"CAAAR, CAANESH, CAANSPS, CAANSR, CAASIP, CAATVP",4,0
CAACCP,4,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",4,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAAOTH",4,0
"CAACFC, CAANESH, CAANSPS, CAASIP",4,0
"CAACFC, CAAOP, CAATVP",4,0
"CAACFC, CAATVP",4,0
"CAAFENF, CAAFESOP, CAANSPS",4,0
"CAAFENF, CAAMACT, CAANSR, CAATVP",4,0
"CAAFESOP, CAAFIP",4,0
"CAAFESOP, CAAFIP, CAAMACT, CAAOP, CAAPSD, CAASIP, CAATVP",4,0
"CAAFESOP, CAAFIP, CAAMACT, CAAOP, CAASIP, CAATVP",4,0
"CAAFESOP, CAAMACT, CAANESH, CAANSPS",4,0
"CAAFESOP, CAAMACT, CAANSPS, CAANSR",4,0
"CAAFESOP, CAAMACT, CAANSR",4,0
"CAAFESOP, CAANSPS, CAANSR, CAAPSD, CAASIP",4,0
"CAAFESOP, CAANSPS, CAAOP",4,0
"CAAFIP, CAAMACT, CAANESH, CAAOP",4,0
"CAAFIP, CAAMACT, CAANSPS, CAAOP, CAAPSD",4,0
"CAAFIP, CAAMACT, CAASIP, CAATVP",4,0
"CAAFIP, CAANSPS, CAASIP",4,0
"CAAGACTM, CAAGHG, CAANSPS, CAANSR, CAATVP",4,0
"CAAGACTM, CAAGHG, CAANSR, CAATVP",4,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAASFP, CAASIP, CAATVP",4,0
"CAAGACTM, CAAMACT, CAANSPS, CAASFP, CAASIP, CAATVP",4,0
"CAAGACTM, CAAMACT, CAANSPSM, CAASIP, CAATVP",4,0
"CAAGACTM, CAAMACT, CAAOP, CAASIP",4,0
"CAAGACTM, CAAMACT, CAAOTH",4,0
"CAAGACTM, CAANESH, CAASIP, CAATVP",4,0
"CAAGACTM, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",4,0
"CAAGACTM, CAANSPS, CAANSR, CAAPSD, CAATVP",4,0
"CAAGACTM, CAANSPS, CAAPSD",4,0
"CAAGHG, CAANSPS, CAANSR, CAASIP, CAATVP",4,0
"CAAIRM, CAANSPS",4,0
"CAAMACT, CAANAM, CAAOP, CAATIP, CAATVP",4,0
"CAAMACT, CAANAM, CAATIP",4,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAASIP",4,0
"CAAMACT, CAANESH, CAANSPS, CAAOP, CAASIP",4,0
"CAAMACT, CAANESH, CAAOP, CAASIP",4,0
"CAAMACT, CAANFRP, CAANSPSM, CAAOTH",4,0
"CAAMACT, CAANFRP, CAANSPSM, CAAOTH, CAASIP",4,0
"CAAMACT, CAANSPS, CAASFP",4,0
"CAAMACT, CAANSPSM, CAAPSD, CAASIP, CAATVP",4,0
"CAAMACT, CAAOP, CAAPSD",4,0
"CAAMACT, CAAOP, CAASFP",4,0
"CAAMACT, CAAOP, CAATIP",4,0
"CAAMACT, CAARMP",4,0
"CAANAM, CAATIP, CAATVP",4,0
"CAANESH, CAANFRP, CAANSPSM, CAANSR, CAAOTH, CAASIP",4,0
"CAANESH, CAANFRP, CAAOTH, CAASIP",4,0
"CAANESH, CAANSP, CAANSPS, CAAPSD",4,0
"CAANESH, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",4,0
"CAANSPS, CAANSPSM, CAASIP, CAATVP",4,0
"CAAAR, CAACFC, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",3,0
"CAAAR, CAAFESOP, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAAAR, CAAFESOP, CAATVP",3,0
"CAAAR, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP",3,0
"CAAAR, CAAMACT, CAANSPS, CAANSR, CAATVP",3,0
"CAAAR, CAANESH, CAANSPS, CAAPSD, CAATVP",3,0
"CAAAR, CAANFRP, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAAGACTM, CAANESH, CAANSPS, CAAOTH, CAASIP, CAATVP",3,0
"CAACFC, CAAGACTM, CAANESH, CAANSPS, CAASIP, CAATVP",3,0
"CAACFC, CAAGHG, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOTH, CAAPSD, CAASFP, CAASIP, CAATVP",3,0
"CAACFC, CAAMACT, CAANESH, CAASIP",3,0
"CAACFC, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAACFC, CAAOP",3,0
"CAACFC, CAAPSD, CAASIP, CAATVP",3,0
"CAAFENF, CAAGACTM, CAAMACT, CAANESH, CAANSPSM, CAASIP, CAATVP",3,0
"CAAFENF, CAAMACT",3,0
"CAAFENF, CAANSR",3,0
"CAAFESOP, CAAGACTM, CAAGHG, CAANSPS, CAASIP",3,0
"CAAFESOP, CAAGACTM, CAAMACT, CAANSPS",3,0
"CAAFESOP, CAAGACTM, CAANSPS, CAAOTH, CAASIP",3,0
"CAAFESOP, CAAGACTM, CAASFP, CAASIP",3,0
"CAAFESOP, CAAGHG, CAASIP",3,0
"CAAFESOP, CAAMACT, CAANESH",3,0
"CAAFESOP, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP",3,0
"CAAFESOP, CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",3,0
"CAAFESOP, CAAMACT, CAANESH, CAATVP",3,0
"CAAFESOP, CAAMACT, CAANSP, CAANSPS, CAANSR, CAAOP",3,0
"CAAFESOP, CAAMACT, CAANSPSM",3,0
"CAAFESOP, CAAMACT, CAANSPSM, CAAOTH",3,0
"CAAFESOP, CAANESH, CAANSPSM",3,0
"CAAFESOP, CAANSPS, CAANSR, CAAOTH",3,0
"CAAFESOP, CAANSPS, CAAPSD, CAATVP",3,0
"CAAFF, CAANESH, CAASPP, CAATVP",3,0
"CAAFIP, CAAGACTM, CAANESH, CAANSPS, CAAOP, CAASO",3,0
"CAAFIP, CAAGACTM, CAANSPS, CAAOP",3,0
"CAAFIP, CAAGACTM, CAAOP",3,0
"CAAFIP, CAAMACT, CAANSPS, CAASIP",3,0
"CAAFIP, CAANESH, CAAOP",3,0
"CAAFIP, CAANESH, CAAOP, CAASO",3,0
"CAAGACTM, CAAGHG, CAANSPSM, CAANSR, CAASFP, CAATVP",3,0
"CAAGACTM, CAAGHG, CAANSPSM, CAANSR, CAATVP",3,0
"CAAGACTM, CAAIRM, CAAMACT, CAANSPS",3,0
"CAAGACTM, CAAMACT, CAANAM, CAAOP, CAATIP, CAATVP",3,0
"CAAGACTM, CAAMACT, CAANESH",3,0
"CAAGACTM, CAAMACT, CAANESH, CAAPSD, CAATVP",3,0
"CAAGACTM, CAAMACT, CAANESH, CAASIP",3,0
"CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAAGACTM, CAAMACT, CAANSPS, CAAOP",3,0
"CAAGACTM, CAAMACT, CAANSPS, CAAOP, CAAPSD, CAASIP",3,0
"CAAGACTM, CAAMACT, CAAOP",3,0
"CAAGACTM, CAAMACT, CAAOP, CAASIP, CAATVP",3,0
"CAAGACTM, CAANESH, CAANSPS, CAAOP, CAASIP",3,0
"CAAGACTM, CAANSPS, CAANSPSM, CAASIP, CAATVP",3,0
"CAAGACTM, CAANSPS, CAAOTH",3,0
"CAAGACTM, CAANSPS, CAAOTH, CAATVP",3,0
"CAAGACTM, CAANSPSM, CAANSR, CAATVP",3,0
"CAAGACTM, CAAOP, CAASIP, CAATVP",3,0
"CAAGACTM, CAAPSD, CAASIP",3,0
"CAAIRM, CAAMACT, CAAOP",3,0
"CAAIRM, CAANAM",3,0
"CAAIRM, CAANESH",3,0
"CAAMACT, CAANAM, CAAOP",3,0
"CAAMACT, CAANESH, CAANSPS, CAANSPSM",3,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOP",3,0
"CAAMACT, CAANESH, CAAOP, CAATVP",3,0
"CAAMACT, CAANESH, CAASO",3,0
"CAAMACT, CAANSPS, CAANSPSM, CAASIP, CAATVP",3,0
"CAAMACT, CAANSPS, CAANSR",3,0
"CAAMACT, CAANSPS, CAAPARGDC",3,0
"CAAMACT, CAANSPS, CAASWFC",3,0
"CAAMACT, CAANSPS, CAATIP",3,0
"CAAMACT, CAANSR, CAAOP, CAASFP",3,0
"CAAMACT, CAASWFC",3,0
"CAAMS, CAATVP",3,0
"CAANAM, CAANESH",3,0
"CAANAM, CAAOP, CAATIP",3,0
"CAANESH, CAANFRP, CAASIP",3,0
"CAANESH, CAANSP, CAANSPS, CAAPSD, CAASIP",3,0
"CAANESH, CAANSPS, CAAOTH, CAAPSD, CAASIP, CAATVP",3,0
"CAANESH, CAANSR, CAAOTH, CAASIP, CAATVP",3,0
"CAANESH, CAANSR, CAAPSD, CAASIP, CAATVP",3,0
"CAANESH, CAAOTH, CAASIP, CAATVP",3,0
"CAANSPS, CAAOP, CAAPSD, CAASIP",3,0
"CAANSPSM, CAATVP",3,0
"CAAOP, CAASO",3,0
"CAASFP, CAASIP, CAATVP",3,0
"CAAAR, CAACFC, CAAMACT, CAAPSD, CAASIP, CAATVP",2,0
"CAAAR, CAACFC, CAANSPS, CAAPSD, CAASIP, CAATVP",2,0
"CAAAR, CAAFESOP, CAANSPS, CAAPSD, CAATVP",2,0
"CAAAR, CAAGACTM, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",2,0
"CAAAR, CAAGACTM, CAAMACT, CAANSPS, CAASIP, CAATVP",2,0
"CAAAR, CAAGACTM, CAAMACT, CAASIP, CAATVP",2,0
"CAAAR, CAAGACTM, CAANSPS, CAANSR, CAAOTH, CAAPSD, CAATVP",2,0
"CAAAR, CAAGACTM, CAANSPS, CAAOTH, CAATVP",2,0
"CAAAR, CAAGHG, CAANSPSM, CAANSR, CAATVP",2,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOTH, CAAPSD, CAATVP",2,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAAOTH, CAAPSD, CAASIP, CAATVP",2,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAAOTH, CAASIP, CAATVP",2,0
"CAAAR, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",2,0
"CAAAR, CAANESH, CAANSPS, CAAPARGDC",2,0
"CAAAR, CAANESH, CAASIP",2,0
"CAAAR, CAANSPS, CAANSR, CAAPSD, CAASIP",2,0
"CAACFC, CAAFESOP, CAASIP",2,0
"CAACFC, CAAGACTM, CAAGHG, CAANSPS, CAASIP, CAATVP",2,0
"CAACFC, CAAGACTM, CAAMACT, CAANESH",2,0
"CAACFC, CAAGACTM, CAAOTH, CAASIP, CAATVP",2,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAOTH, CAAPSD, CAASIP, CAATVP",2,0
"CAACFC, CAAMACT, CAAPARGDC, CAASIP",2,0
"CAACFC, CAANAM",2,0
"CAACFC, CAANSPS, CAAOTH, CAASIP, CAATVP",2,0
"CAACFC, CAANSR, CAAOTH, CAASIP",2,0
"CAACFC, CAAPSD, CAASIP",2,0
"CAAFENF, CAAMACT, CAANSPS, CAANSR, CAATVP",2,0
"CAAFENF, CAAMACT, CAANSR, CAAOP, CAAPSD",2,0
