variable,n_missing,pct_missing
PGM_SYS_ID,0,0
ACTIVITY_ID,0,0
ENF_IDENTIFIER,0,0
ACTIVITY_TYPE_CODE,0,0
ACTIVITY_TYPE_DESC,0,0
STATE_EPA_FLAG,0,0
ENF_TYPE_CODE,0,0
ENF_TYPE_DESC,0,0
ACHIEVED_DATE,337,0.1
OFFICIAL_FLG,0,0
