variable,n_missing,pct_missing
REPORTING_YEAR,0,0
REGISTRY_ID,0,0
PGM_SYS_ACRNM,0,0
PGM_SYS_ID,0,0
POLLUTANT_NAME,0,0
ANNUAL_EMISSION,572,0.01
UNIT_OF_MEASURE,0,0
NEI_TYPE,1029285,9.89
NEI_HAP_VOC_FLAG,4584562,44.03
