field,n_missing,pct
PGM_SYS_ID,0,0
POLLUTANT_CODE,0,0
POLLUTANT_DESC,0,0
SRS_ID,165500,16.9
CHEMICAL_ABSTRACT_SERVICE_NMBR,586700,60.1
AIR_POLLUTANT_CLASS_CODE,0,0
AIR_POLLUTANT_CLASS_DESC,0,0
