POLLUTANT_CODE,POLLUTANT_DESC,n,pct
3670,SELENIUM COMPOUNDS,111,0
200000842,HC + NOx [Hydrocarbons plus Nitrogen oxides],111,0
300000155,Isophorone,110,0
300000023,Zinc,107,0
300000347,Cyanide,107,0
300000370,Phosphoric acid,106,0
300000165,"1,1-Dichloroethylene",105,0
2092,HYDROGEN CHLORIDE,104,0
300000416,Dichlorobenzene,99,0
300000419,2-Butoxyethanol,99,0
300000054,"Toluene-2,4-diisocyanate",98,0
300000381,Heptane,95,0
300000549,"7,12-Dimethylbenz[a]anthracene",95,0
300000069,Ethyl acrylate,94,0
300000024,Copper,93,0
300000084,"1,2,4-Trichlorobenzene",92,0
300000414,Pentane,89,0
300000083,"2,4-Dinitrotoluene",87,0
300000176,Hydrogen cyanide,87,0
10361,Nonmethane hydrocarbons [NMHC],86,0
300000294,ALDEHYDES,86,0
300000042,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",84,0
300000140,Pentachlorophenol,84,0
300000193,Aniline,82,0
300000667,Light alkylate naphtha (petroleum),80,0
300000110,Epichlorohydrin,79,0
300000079,Hydroquinone,77,0
300000412,n-Butyl acetate,75,0
300000211,MALEIC ANHYDRIDE,72,0
300000041,Sulfur hexafluoride,70,0
300000121,p-Nitrophenol,70,0
300000387,Ethyl acetate,70,0
300000256,para-Quinone,69,0
300000139,"2,4,6-Trichlorophenol",67,0
300000311,ORGANIC ACIDS,67,0
300000389,Benzyl alcohol,67,0
300000184,"N,N-Dimethylformamide",66,0
300000118,Benzyl chloride,64,0
300000401,Isobutyraldehyde,64,0
300000206,"2,4-Dinitrophenol",63,0
300000072,Dibenzofuran,62,0
300000250,Dimethyl Sulfate,59,0
300000417,Acetic acid,55,0
300000020,Sulfur trioxide,54,0
300000310,NON-VOLATILE ORGANIC COMPOUNDS,54,0
300000406,Isobutanol,54,0
300000167,Tribromomethane,53,0
300000039,Aluminum,51,0
300000088,Hexachlorobenzene,51,0
300000131,o-Cresol,50,0
300000142,Phthalic anhydride,47,0
300000268,2-Chloroacetophenone,47,0
300000068,Sodium cyanide,46,0
300000209,"Benzene, ethylbenzene, toluene, xylene combination",46,0
300000001,"2,3,7,8-Tetrachlorodibenzofuran",45,0
300000194,Methyl hydrazine,45,0
300000247,Iodomethane,45,0
300000122,Nitrobenzene,44,0
300000066,Hydrazine,43,0
300000386,"n-Octane, total",43,0
300000425,Pyridine,43,0
300000661,Butene,43,0
300000422,Kerosene,42,0
300000257,"1,2-Epoxybutane",41,0
300000415,Sulfur,41,0
320002821,Particulate Matter [Filterable],40,0
300000141,Hexachlorobutadiene,39,0
300000185,Hexachloroethane,38,0
300000431,Aluminum oxide,38,0
300000643,Naphtha,38,0
300000668,Hydrotreated light distillates (petroleum),37,0
4186,TOTAL REDUCED SULFUR,35,0
300000106,Allyl chloride,34,0
300000130,o-Toluidine,33,0
300000384,Trimethylbenzene,33,0
300000593,"Ethylene glycol monobutyl ether acetEthanol, 2-butoxy-, 1-acetate te",33,0
300000644,Stoddard solvent,33,0
320002801,PM (filterables),33,0
300000150,Acrylamide,32,0
300000208,Furans,32,0
300000283,HAFNIUM CARBIDE,32,0
300000680,Ozone,32,0
300000351,Phenanthrene,31,0
1305,CYANIDE COMPOUNDS,29,0
300000075,Chloroprene,29,0
300000245,Acetamide,29,0
300000112,p-Cresol,28,0
300000371,Bromine,28,0
300000374,Chlorine dioxide,28,0
300000399,Methyl acetate,28,0
300000432,Isobutyl acetate,28,0
300000595,4-Hydroxy-4-methyl-2-pentanone,28,0
300000081,"N,N-Dimethylaniline",27,0
300000098,m-Cresol,27,0
300000388,SOLVENT NAPHTHA,27,0
300000115,"4,4'-methylenedianiline",26,0
300000137,Quinoline,26,0
300000392,Cyclohexanone,26,0
300000426,Diethylene Glycol,26,0
300000163,Phosgene,25,0
300000092,Bis(2-chloroethyl) ether,24,0
300000350,Methyl mercaptan,24,0
300000458,Molybdenum,24,0
300000379,Butyl benzyl phthalate,23,0
300000423,Butyraldehyde,23,0
300000427,Asphalt,23,0
300000146,2-Nitropropane,22,0
300000156,Hexachlorocyclopentadiene,22,0
300000363,Butyl acrylate,22,0
300000369,Vanadium,22,0
300000600,Cyclopentane,22,0
300000589,Ethylene glycol dimethyl ether,21,0
300000114,Caprolactam,20,0
300000126,"1,2-Dibromo-3-chloropropane",20,0
300000128,"2,4-Toluenediamine",20,0
300000421,tert-Butanol,20,0
300000430,Petroleum [Crude Oil],20,0
300000468,"1,3,5-Trimethylbenzene",20,0
300000616,Carbon black,20,0
320002708,Total Halogens,20,0
300000367,Silver,19,0
300000402,Ethanolamine,19,0
300000470,Dichlorobromomethane,19,0
300000558,2-Butanol,19,0
10339,HCFC-22 [Air],18,0
300000019,Titanium tetrachloride,18,0
300000134,Benzidine,18,0
300000651,Titanium dioxide,18,0
300000355,o-Dichlorobenzene,17,0
300000573,1-Butene,17,0
300000441,CFC-113,16,0
300000444,2-Ethoxyethanol,16,0
