POLLUTANT_CODE,POLLUTANT_DESC,n_facilities
300000172,Acetonitrile,112
3670,SELENIUM COMPOUNDS,111
200000842,HC + NOx [Hydrocarbons plus Nitrogen oxides],111
300000155,Isophorone,110
300000023,Zinc,107
300000347,Cyanide,107
300000370,Phosphoric acid,106
300000165,"1,1-Dichloroethylene",105
2092,HYDROGEN CHLORIDE,104
300000416,Dichlorobenzene,99
300000419,2-Butoxyethanol,99
300000054,"Toluene-2,4-diisocyanate",98
300000381,Heptane,95
300000549,"7,12-Dimethylbenz[a]anthracene",95
300000069,Ethyl acrylate,94
300000024,Copper,93
300000084,"1,2,4-Trichlorobenzene",92
300000414,Pentane,89
300000083,"2,4-Dinitrotoluene",87
300000176,Hydrogen cyanide,87
10361,Nonmethane hydrocarbons [NMHC],86
300000294,ALDEHYDES,86
300000042,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",84
300000140,Pentachlorophenol,84
300000193,Aniline,82
300000667,Light alkylate naphtha (petroleum),80
300000110,Epichlorohydrin,79
300000079,Hydroquinone,77
300000412,n-Butyl acetate,75
300000211,MALEIC ANHYDRIDE,72
300000041,Sulfur hexafluoride,70
300000121,p-Nitrophenol,70
300000387,Ethyl acetate,70
300000256,para-Quinone,69
300000139,"2,4,6-Trichlorophenol",67
300000311,ORGANIC ACIDS,67
300000389,Benzyl alcohol,67
300000184,"N,N-Dimethylformamide",66
300000118,Benzyl chloride,64
300000401,Isobutyraldehyde,64
300000206,"2,4-Dinitrophenol",63
300000072,Dibenzofuran,62
300000250,Dimethyl Sulfate,59
300000417,Acetic acid,55
300000020,Sulfur trioxide,54
300000310,NON-VOLATILE ORGANIC COMPOUNDS,54
300000406,Isobutanol,54
300000167,Tribromomethane,53
300000039,Aluminum,51
300000088,Hexachlorobenzene,51
300000131,o-Cresol,50
300000142,Phthalic anhydride,47
300000268,2-Chloroacetophenone,47
300000068,Sodium cyanide,46
300000209,"Benzene, ethylbenzene, toluene, xylene combination",46
300000001,"2,3,7,8-Tetrachlorodibenzofuran",45
300000194,Methyl hydrazine,45
300000247,Iodomethane,45
300000122,Nitrobenzene,44
300000066,Hydrazine,43
300000386,"n-Octane, total",43
300000425,Pyridine,43
300000661,Butene,43
300000422,Kerosene,42
300000257,"1,2-Epoxybutane",41
300000415,Sulfur,41
320002821,Particulate Matter [Filterable],40
300000141,Hexachlorobutadiene,39
300000185,Hexachloroethane,38
300000431,Aluminum oxide,38
300000643,Naphtha,38
300000668,Hydrotreated light distillates (petroleum),37
4186,TOTAL REDUCED SULFUR,35
300000106,Allyl chloride,34
300000130,o-Toluidine,33
300000384,Trimethylbenzene,33
300000593,"Ethylene glycol monobutyl ether acetEthanol, 2-butoxy-, 1-acetate te",33
300000644,Stoddard solvent,33
320002801,PM (filterables),33
300000150,Acrylamide,32
300000208,Furans,32
300000283,HAFNIUM CARBIDE,32
300000680,Ozone,32
300000351,Phenanthrene,31
1305,CYANIDE COMPOUNDS,29
300000075,Chloroprene,29
300000245,Acetamide,29
300000112,p-Cresol,28
300000371,Bromine,28
300000374,Chlorine dioxide,28
300000399,Methyl acetate,28
300000432,Isobutyl acetate,28
300000595,4-Hydroxy-4-methyl-2-pentanone,28
300000081,"N,N-Dimethylaniline",27
300000098,m-Cresol,27
300000388,SOLVENT NAPHTHA,27
300000115,"4,4'-methylenedianiline",26
300000137,Quinoline,26
300000392,Cyclohexanone,26
300000426,Diethylene Glycol,26
300000163,Phosgene,25
300000092,Bis(2-chloroethyl) ether,24
300000350,Methyl mercaptan,24
300000458,Molybdenum,24
300000379,Butyl benzyl phthalate,23
300000423,Butyraldehyde,23
300000427,Asphalt,23
300000146,2-Nitropropane,22
300000156,Hexachlorocyclopentadiene,22
300000363,Butyl acrylate,22
300000369,Vanadium,22
300000600,Cyclopentane,22
300000589,Ethylene glycol dimethyl ether,21
300000114,Caprolactam,20
300000126,"1,2-Dibromo-3-chloropropane",20
300000128,"2,4-Toluenediamine",20
300000421,tert-Butanol,20
300000430,Petroleum [Crude Oil],20
300000468,"1,3,5-Trimethylbenzene",20
300000616,Carbon black,20
320002708,Total Halogens,20
300000367,Silver,19
300000402,Ethanolamine,19
300000470,Dichlorobromomethane,19
300000558,2-Butanol,19
10339,HCFC-22 [Air],18
300000019,Titanium tetrachloride,18
300000134,Benzidine,18
300000651,Titanium dioxide,18
300000355,o-Dichlorobenzene,17
300000573,1-Butene,17
300000441,CFC-113,16
300000444,2-Ethoxyethanol,16
300000451,"Iron, ferrous",16
300000462,Acetylene,16
300000560,Cumene hydroperoxide,16
300000348,Formic acid,15
300000353,1-Methylnaphthalene,15
300000404,CFC-12,15
300000439,5-Methyl-2-hexanone,15
300000440,Hydrogen peroxide,15
300000191,N-Nitrosodimethylamine,14
300000197,Lindane,14
300000254,Styrene Oxide,14
300000316,PARAFFINS (ALKANES),14
300000438,Dimethyl sulfide,14
300000677,Ethane,14
300000127,"2,4,5-Trichlorophenol",13
300000136,"3,3'-dichlorobenzidine",13
300000634,Ammonium sulfate,13
300000343,Hydrobromic acid,12
300000382,Tetrahydrofuran,12
300000383,Di-n-octyl phthalate,12
300000428,2-Methoxyethanol,12
300000485,Fluorine,12
300000579,Acetic anhydride,12
300000582,Methylcyclohexane,12
200000841,Nonmethane organic gases [NMOG],11
300000100,B3 PHENYLENEDIAMINE,11
300000220,COKE OVEN EMISSION,11
300000246,"Sulfuric acid, diethyl ester",11
300000248,2-Methylpropane (Isobutane),11
300000253,4-Nitrodiphenyl,11
300000258,Methyl Chloromethyl Ether,11
300000260,Catechol,11
300000390,Dicyclopentadiene,11
300000410,Ethylene glycol monopropyl ether,11
300000446,Isoprene,11
300000452,Ammonium nitrate,11
300000456,"2,4-Dimethylphenol",11
300000469,Chromic[VI] acid,11
300000487,"trans-1,2-Dichloroethylene",11
300000499,"Toluene-2,6-diisocyanate",11
300000512,Diethylene glycol monobutyl ether,11
300000645,Polyethylene,11
300000654,Talc,11
320002704,Total Organic Hazardous Air Pollutants,11
300000046,Hydrogen,10
300000229,Radionuclides (including radon),10
300000271,Vinyl Bromide,10
300000433,Isopropyl acetate,10
300000460,4-Aminobiphenyl,10
300000581,Diisobutyl ketone,10
300000200,"1,1-Dimethylhydrazine",9
300000205,Urethane,9
300000249,2-Methylaziridine (propyleneimine),9
300000396,"1,2-Dichloroethylene",9
300000400,Dimethylamine,9
300000473,CFC-11,9
300000481,Tetrachloroethane,9
300000679,Butane,9
2510,Methyl chloroform,8
4167,TOTAL ORGANIC COMPOUNDS,8
300000133,"2,4-D",8
300000144,Pentachloronitrobenzene,8
300000148,Chloroacetic acid,8
300000252,o-Anisidine,8
300000255,Benzotrichloride,8
300000293,ALUMINUM COMPOUNDS,8
300000358,Propylene glycol 1-methyl ether,8
300000398,2-Furanmethanol,8
300000463,Toluenediamine,8
300000471,Carbon,8
300000498,n-Decane,8
300000532,Chloride,8
10343,Bis[chloromethyl] ether [Air],7
300000157,Heptachlor,7
300000308,KETONES,7
300000337,Dibenzo-p-dioxin,7
300000408,Magnesium oxide,7
300000409,Sodium sulfate,7
300000418,Calcium oxide,7
300000424,Diethylenetriamine,7
300000605,tert-Butyl acetate,7
300000608,Zinc stearate,7
300000609,Methyl isopropyl ketone,7
300000058,"4,6-Dinitro-o-cresol",6
300000067,Calcium cyanamide,6
300000087,"3,3'-dimethoxybenzidine",6
300000196,N-Nitrosomorpholine,6
300000198,Chlordane,6
300000334,Trimethylamine,6
300000360,Dimethyl ether,6
300000394,Propionic acid,6
300000403,Propane,6
300000411,HCFC-21,6
300000448,Morpholine,6
300000454,Benzoyl peroxide,6
300000466,Diethyl phthalate,6
300000467,Furfural,6
300000559,Nitroethane,6
300000565,Benzoyl chloride,6
300000647,Polyethylene glycol nonylphenyl ether,6
300000649,Mica group minerals,6
320004361,n-Propyl Bromide,6
12567,Propanal,5
300000008,Toxaphene,5
300000117,"4,4' - methylenebis (2 - chloroaniline)",5
300000181,Methoxychlor,5
300000195,4-Dimethylaminoazobenzene,5
300000233,Sulfates,5
300000262,Ethyleneimine,5
300000385,Polyvinyl chloride,5
300000393,Molybdenum trioxide,5
300000435,"1,1,1,2-Tetrachloroethane",5
300000509,Polymeric diphenylmethane diisocyanate,5
300000511,Diethylene glycol monoethyl ether,5
300000521,m-Dichlorobenzene,5
300000522,Uranium-238,5
300000621,Octachloronaphthalene,5
300000658,Aluminum hydroxide,5
300000659,Vinyltoluene,5
300000675,Magnesium,5
320002781,Reduced Sulfur Compounds,5
2440,MDI,4
6410,CHROMIUM TRIVALENT,4
7838,"1,12-Benzoperylene",4
300000033,Thallium,4
300000080,"1,2-Diphenylhydrazine",4
300000091,Propoxur,4
300000272,Methyl Isocyanate,4
300000292,ACETYLENES (ALKYNES),4
300000303,FINE MINERAL FIBERS_(E649533),4
300000309,MERCURY COMPOUNDS (E650028),4
300000434,n-Amyl acetate,4
300000465,Butyric acid,4
300000492,Lead monoxide,4
300000503,"4,4'-isopropylidenediphenol",4
300000515,n-Dodecane,4
300000552,Nitromethane,4
300000567,Terephthalic acid,4
300000580,1-Methoxy-2-propyl acetate,4
300000639,Silane,4
300000664,Isooctanol,4
300000665,Diisononyl phthalate,4
300000669,Light aliphatic solvent naphtha (petroleum),4
300000678,1-Propanol,4
320002702,Hydrochloric Acid-Equivalents,4
2097,Hydrogen fluoride,3
6414,DICHLORODIFLUOROMETHANE [CFC-12],3
6419,HCFC [HYRDOCHLOROFLUOROCARBONS],3
300000044,Trifluralin,3
300000086,"3,3-dimethylbenzidine",3
300000125,Ethylene thiourea,3
300000278,PROPANE SULTONE,3
300000306,HYDROFLUOROCARBONS,3
300000391,Nitrilotriacetic acid,3
300000405,Diethylamine,3
300000420,Dinitrotoluene,3
300000429,Potassium hydroxide,3
300000436,2-Propen-1-ol,3
300000447,Cyclohexylamine,3
300000461,Ethinyl estradiol,3
300000472,Tetraethyl lead,3
300000489,Strontium,3
300000494,Isopropyl ether,3
300000495,Calcium,3
300000497,Hexamethylenediamine,3
300000502,Methacrylic acid,3
300000506,Methyl ethyl ketone peroxide,3
300000507,"trans-1,3-Dichloropropene",3
300000510,Potassium,3
300000543,2-Methylbutane,3
300000551,Formamide,3
300000575,Propargyl alcohol,3
300000603,"1,3-Pentadiene",3
300000610,Glycidylaldehyde,3
300000618,m-Xylylenediamine,3
300000619,Nitrofen,3
300000625,Isophorone diisocyanate,3
816,CARBON DIOXIDE LIQUID,2
2509,Methyl chloride,2
2787,Nitric acid,2
2832,NITROGEN OXIDES NO2,2
3214,PERCHLOETHYLENE,2
10276,2-Butoxyethanol,2
11257,"HFC-152a [1,1-difluoroethane]",2
200000221,n-Propyl Bromide,2
300000031,Titanium,2
300000032,Tin,2
300000070,Chloramben,2
300000071,Captan,2
300000190,Carbaryl,2
300000201,Glycerine,2
300000202,Parathion,2
300000204,2-Acetylaminofluorene,2
300000251,"n,n-Dimethylcarbamoyl Chloride",2
300000261,trans-Crotonaldehyde,2
300000263,Diazomethane,2
300000267,HFC-245fa,2
300000275,N-NITROSO-N-METHYLUREA,2
300000279,DICHLORODIPHENYLDICHLOROETHYLENE,2
