group,n,n_zero,n_nonzero,min,p5,p25,median,mean,p75,p95,p99,max
all,105656,33342,72314,0,0,0,2200,54322.81,10000,100000,778000,100728768.13
nonzero,72314,0,72314,1,500,2000,5500,79369.56,18903,172000,1167222.4999999453,100728768.13
